App,Translated_Review
App_244,Great tool for daily productivity!
App_12,"This app is absolutely amazing, loved the smooth UI!"
App_239,"Average features, works fine but nothing special."
App_49,Worst update ever. It keeps crashing continuously.
App_42,"Average features, works fine but nothing special."
App_166,"Average features, works fine but nothing special."
App_82,Too many intrusive ads. Uninstalled immediately.
App_291,"Average features, works fine but nothing special."
App_158,"Average features, works fine but nothing special."
App_216,Great tool for daily productivity!
App_158,Worst update ever. It keeps crashing continuously.
App_134,Great tool for daily productivity!
App_67,Great tool for daily productivity!
App_7,"This app is absolutely amazing, loved the smooth UI!"
App_14,Great tool for daily productivity!
App_73,Too many intrusive ads. Uninstalled immediately.
App_163,Too many intrusive ads. Uninstalled immediately.
App_66,"This app is absolutely amazing, loved the smooth UI!"
App_130,Worst update ever. It keeps crashing continuously.
App_206,Worst update ever. It keeps crashing continuously.
App_276,Great tool for daily productivity!
App_256,Great tool for daily productivity!
App_266,Great tool for daily productivity!
App_25,Worst update ever. It keeps crashing continuously.
App_281,"Average features, works fine but nothing special."
App_253,Too many intrusive ads. Uninstalled immediately.
App_289,"Average features, works fine but nothing special."
App_164,"Average features, works fine but nothing special."
App_95,Worst update ever. It keeps crashing continuously.
App_270,"Average features, works fine but nothing special."
App_110,"This app is absolutely amazing, loved the smooth UI!"
App_238,Great tool for daily productivity!
App_25,"This app is absolutely amazing, loved the smooth UI!"
App_141,Too many intrusive ads. Uninstalled immediately.
App_117,Great tool for daily productivity!
App_25,"Average features, works fine but nothing special."
App_79,Too many intrusive ads. Uninstalled immediately.
App_68,Great tool for daily productivity!
App_173,"Average features, works fine but nothing special."
App_12,"This app is absolutely amazing, loved the smooth UI!"
App_288,Great tool for daily productivity!
App_128,"Average features, works fine but nothing special."
App_96,"This app is absolutely amazing, loved the smooth UI!"
App_92,Too many intrusive ads. Uninstalled immediately.
App_141,Too many intrusive ads. Uninstalled immediately.
App_31,Too many intrusive ads. Uninstalled immediately.
App_20,Too many intrusive ads. Uninstalled immediately.
App_146,Worst update ever. It keeps crashing continuously.
App_160,Great tool for daily productivity!
App_43,Great tool for daily productivity!
App_254,Worst update ever. It keeps crashing continuously.
App_130,"Average features, works fine but nothing special."
App_60,"Average features, works fine but nothing special."
App_151,Too many intrusive ads. Uninstalled immediately.
App_287,"This app is absolutely amazing, loved the smooth UI!"
App_5,"Average features, works fine but nothing special."
App_266,"This app is absolutely amazing, loved the smooth UI!"
App_130,Great tool for daily productivity!
App_267,"This app is absolutely amazing, loved the smooth UI!"
App_178,Great tool for daily productivity!
App_253,Worst update ever. It keeps crashing continuously.
App_56,Worst update ever. It keeps crashing continuously.
App_83,Too many intrusive ads. Uninstalled immediately.
App_99,"Average features, works fine but nothing special."
App_149,Too many intrusive ads. Uninstalled immediately.
App_156,Great tool for daily productivity!
App_190,Too many intrusive ads. Uninstalled immediately.
App_263,"This app is absolutely amazing, loved the smooth UI!"
App_80,Great tool for daily productivity!
App_252,Worst update ever. It keeps crashing continuously.
App_97,"Average features, works fine but nothing special."
App_260,Great tool for daily productivity!
App_260,Great tool for daily productivity!
App_103,"This app is absolutely amazing, loved the smooth UI!"
App_40,"Average features, works fine but nothing special."
App_273,Worst update ever. It keeps crashing continuously.
App_101,Great tool for daily productivity!
App_221,Great tool for daily productivity!
App_124,"This app is absolutely amazing, loved the smooth UI!"
App_231,Too many intrusive ads. Uninstalled immediately.
App_178,Worst update ever. It keeps crashing continuously.
App_63,"Average features, works fine but nothing special."
App_116,Great tool for daily productivity!
App_191,Great tool for daily productivity!
App_62,Worst update ever. It keeps crashing continuously.
App_256,Too many intrusive ads. Uninstalled immediately.
App_7,Great tool for daily productivity!
App_155,Worst update ever. It keeps crashing continuously.
App_92,"This app is absolutely amazing, loved the smooth UI!"
App_14,Too many intrusive ads. Uninstalled immediately.
App_229,"Average features, works fine but nothing special."
App_86,Great tool for daily productivity!
App_133,Worst update ever. It keeps crashing continuously.
App_183,"This app is absolutely amazing, loved the smooth UI!"
App_62,"Average features, works fine but nothing special."
App_219,Worst update ever. It keeps crashing continuously.
App_246,Worst update ever. It keeps crashing continuously.
App_230,"Average features, works fine but nothing special."
App_79,"This app is absolutely amazing, loved the smooth UI!"
App_149,"This app is absolutely amazing, loved the smooth UI!"
App_138,Too many intrusive ads. Uninstalled immediately.
App_65,Great tool for daily productivity!
App_13,"Average features, works fine but nothing special."
App_213,"Average features, works fine but nothing special."
App_242,"Average features, works fine but nothing special."
App_213,"This app is absolutely amazing, loved the smooth UI!"
